id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,num_of_artists,year,artist_followers,genres,artist_popularity,genre
5l3YThCRl3Jf74F7tdSUK2,Mungkin,46,218427,0,['TheOvertunes'],['3t4MHnVggiFLOuSSh4odBk'],2015-06-04,0.626,0.563,10,-7.508,1,0.0287,0.847,0.000333,0.122,0.453,120.04,4,1,2015,508604,['indonesian pop'],57,indonesian pop
3V38fhMHZvF8blUSepXWcn,Lagu Terakhir Untukmu,46,209216,0,['Last Child'],['1v1khTmozNfxB2ET1Ep288'],2015-01-11,0.518,0.781,7,-8.332,1,0.0927,0.0177,0.0,0.14,0.498,159.908,4,1,2015,3834538,"['indonesian pop punk', 'indonesian rock']",69,indonesian pop punk
0z61dgIaWJHm7UrKgsCD64,Kopi Hitam,45,288588,0,['Momonon'],['2XLZhMNnWrmcQQn3h1aSf2'],2015-11-24,0.741,0.407,9,-7.304,0,0.0454,0.446,0.0,0.18,0.962,109.959,4,1,2015,86920,['indonesian reggae'],41,indonesian reggae
4yawEpFmXQoQmTfwyVXmrT,I Will Fly - Demo Version,45,222933,0,['Ten2Five'],['5Tl7XjM9Y7Q2D9eIHz5GTO'],2015-04-28,0.54,0.226,0,-11.049,1,0.0787,0.863,0.0,0.0914,0.401,96.157,4,1,2015,517539,['indonesian pop'],45,indonesian pop
0uz4VSHiOuz4yRLfZxYHi6,Diam Diam Ku Bawa 1,45,285360,0,['Fourtwnty'],['46cVq2dwPgzPE3X1VR9TMj'],2015-04-20,0.596,0.376,9,-7.281,1,0.0272,0.828,0.0,0.193,0.482,109.939,4,1,2015,2804521,"['indonesian folk', 'indonesian indie']",61,indonesian folk
4esbPIsYi1Ncy5fXjcZLkc,"I Want You, Love",46,245293,0,['Teza Sumendra'],['2fS9sWFJcWN8wVhYbCfdC7'],2015-02-14,0.471,0.542,6,-8.181,1,0.35,0.581,2.16e-06,0.138,0.505,79.06,1,1,2015,44521,['indonesian pop'],33,indonesian pop
200evL0saYLFIwFnIpPsCk,Kau,45,183989,0,['Fiersa Besari'],['06QVnTCdjs4jPKO0487EGV'],2015-10-29,0.533,0.389,7,-11.163,1,0.0259,0.652,9.95e-06,0.134,0.613,99.98,4,1,2015,5238363,"['bandung indie', 'indonesian folk pop', 'indonesian indie', 'indonesian pop', 'indonesian pop punk']",68,indonesian pop
4lRssvnLRqSbFafV67OPz9,Cinta Datang Terlambat,45,237449,0,['Maudy Ayunda'],['17Wt0hzZb6fAEVfIHffQFB'],2015-04-01,0.553,0.271,4,-7.338,1,0.0328,0.852,1.69e-06,0.0932,0.236,119.739,4,1,2015,1319730,"['indonesian hip hop', 'indonesian pop']",59,indonesian pop
31VumPyqGjXeqYDQRy90y0,Puan Kelana,45,224994,0,['Silampukau'],['40ucFk6nwFWYZ4gvL9DNm8'],2015-04-19,0.616,0.75,11,-5.633,1,0.0444,0.637,7.07e-05,0.354,0.643,95.005,4,1,2015,97009,"['indonesian folk', 'indonesian indie', 'surabaya indie']",35,indonesian indie
6atraFGvJAsnmAxIZa4kLh,Bahas Bahasa,45,268854,0,['Barasuara'],['5RbI1PF4n02wWKmgjk7hAE'],2015-10-16,0.501,0.654,10,-6.331,1,0.0376,0.00901,0.00267,0.184,0.188,137.914,4,1,2015,339409,"['indonesian indie', 'indonesian indie rock']",42,indonesian indie
3vG1MAEGHwRRweBFLsbJKq,Cinta Tak Bersyarat,45,221704,0,['Element'],['053tL050frPJyo9lPXTUFb'],2015-02-03,0.422,0.455,7,-9.005,0,0.03,0.418,1.73e-05,0.135,0.2,149.231,4,1,2015,36565,['indonesian pop rock'],51,indonesian pop rock
68FRdUhZLCWVmsHavsELTX,Cry Little Heart,44,247379,0,['Stars and Rabbit'],['6q7u2CQJKa5j7CpMNT66LD'],2015-05-15,0.596,0.246,0,-9.756,1,0.0274,0.454,0.00126,0.104,0.232,127.947,4,1,2015,363382,"['indonesian folk', 'indonesian indie', 'indonesian indie pop']",43,indonesian indie pop
3BecPSEd9HLF3djLna6oIU,Menua Berdua,44,312974,0,['Senar Senja'],['2QUFBVwgiBNbP8kNpacdvC'],2015-10-15,0.646,0.162,9,-12.554,1,0.0319,0.786,6.34e-06,0.1,0.164,119.83,4,1,2015,42,"['indonesian folk', 'indonesian indie']",0,indonesian indie
2rj9nnNMZQNs2pZAPWuvze,Kita Lawan Mereka,44,208619,0,['Stand Here Alone'],['3YwAgafEWJCd6Haotq7Qd2'],2015-05-31,0.533,0.896,2,-1.868,1,0.0365,0.00206,0.0,0.34,0.593,106.546,4,1,2015,447157,['indonesian pop punk'],57,indonesian pop punk
6D1e7qG3MSlZ73xbw3Lm3p,Sampai Kau Jadi Milikku,45,195957,0,['Judika'],['5fS7aONqrIhiw6YzgKVOsd'],2015-08-07,0.654,0.687,7,-4.793,1,0.0518,0.12,0.0,0.124,0.561,81.966,4,1,2015,4937999,['indonesian pop'],61,indonesian pop
5yrlP7fgDMVFm4p5mvV8Ia,Rumah,44,274277,0,['Fiersa Besari'],['06QVnTCdjs4jPKO0487EGV'],2015-10-29,0.495,0.228,2,-11.284,1,0.0306,0.707,0.0,0.142,0.386,119.946,4,1,2015,5238363,"['bandung indie', 'indonesian folk pop', 'indonesian indie', 'indonesian pop', 'indonesian pop punk']",68,bandung indie
6TxsEhYOZ6swipJ5obNKek,Yang Terlupakan,44,251300,0,['Iwan Fals & NOAH'],['3KL6bY7vkUWhF84vaVGmDv'],2015-11-16,0.526,0.701,1,-5.528,1,0.0279,0.0725,4.87e-06,0.109,0.431,148.023,4,1,2015,8791,[],21,
0maJ5mO3h2bc1E9lLfgixb,Aku Tak Biasa,44,286859,0,['Alda'],['40eVUcm0ODaKrZDBLcQghs'],2015-02-02,0.503,0.474,0,-11.292,0,0.0311,0.653,0.0,0.112,0.264,135.561,4,1,2015,1547,[],12,
71ffTsV63O9RsoWJ1iJOet,Percayalah,45,266112,0,"['Afgan', 'Raisa']","['4cgBCGxtlfap2g6jveB7du', '5OZXWMwDhlYBRvoOfcX0sk']",2015-11-04,0.541,0.353,2,-8.663,1,0.0278,0.712,0.0,0.122,0.211,126.008,4,2,2015,1898644,"['indonesian pop', 'malaysian pop']",66,indonesian pop
5XK7rhfAVYO6nP0FoVko9d,Above All,48,267467,0,['Natasha Midori'],['3tueeQE2ybSIRNXPLRo1HH'],2015,0.591,0.336,5,-8.653,1,0.0294,0.678,0.0,0.112,0.216,129.879,4,1,2015,45807,['indonesian worship'],48,indonesian worship
4NKQsRUXXXxyFSXlnkaRmy,Jangan Salah Menilai,44,319582,0,['Tagor Pangaribuan'],['6NKXps53hQ5EM8Ra1pVRUI'],2015-12-30,0.537,0.699,2,-2.865,1,0.0271,0.0543,0.000226,0.354,0.358,75.101,4,1,2015,11890,[],34,
7aeMU6Rw4yxTD4e4Cn13HU,Penantian,44,294636,0,['Last Child'],['1v1khTmozNfxB2ET1Ep288'],2015-01-11,0.589,0.755,2,-8.894,1,0.0433,0.00207,0.0,0.164,0.584,146.036,4,1,2015,3834538,"['indonesian pop punk', 'indonesian rock']",69,indonesian pop punk
4T3t6JBORgTj0y5hDQ0t7r,Tanjung Mas Ninggal Janji,43,298960,0,['Didi Kempot'],['0obaLCCWO42LOegAmHhEC4'],2015-06-23,0.672,0.804,7,-4.672,1,0.0316,0.346,0.0141,0.183,0.964,144.972,4,1,2015,777897,"['campursari', 'dangdut', 'dangdut koplo', 'javanese dangdut', 'lagu jawa']",52,dangdut
2qy6cvvlQ0Ms9zGi9IRQOM,Damai,43,187977,0,['Wayang'],['5V9J1S3UkLy41GPRi0Kvx2'],2015-03-20,0.615,0.494,7,-6.244,1,0.0286,0.291,0.0,0.13,0.605,110.06,4,1,2015,37155,['indonesian pop rock'],30,indonesian pop rock
7HW7C1NSXomYmZRVYv7m0a,Putih,43,586387,0,['Efek Rumah Kaca'],['3uSvD31crYEsBLuiAFD02b'],2015-12-18,0.585,0.479,5,-10.136,1,0.0257,0.0561,0.191,0.11,0.321,107.968,4,1,2015,764802,"['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock']",50,indonesian alternative rock
0eLka4xYB7sP5Ak4CLykRL,Waktu Tuhan,44,221080,0,['Janice Charlene'],['1noHHf9Qt6ILJcApEOfm9l'],2015-03-06,0.516,0.43,4,-6.96,1,0.0325,0.502,1.31e-06,0.108,0.183,123.775,4,1,2015,1729,['indonesian worship'],25,indonesian worship
5H60BCrbWBocSIAoZwjxwD,Wanita Masih Banyak,43,232611,0,['Stand Here Alone'],['3YwAgafEWJCd6Haotq7Qd2'],2015-05-31,0.397,0.939,9,-2.006,1,0.0389,0.00288,0.0,0.0512,0.879,169.942,4,1,2015,447157,['indonesian pop punk'],57,indonesian pop punk
5QkrO6O8qt49mjeGOTnAzg,Bojo Ketikung,43,285887,0,['NDX A.K.A.'],['1IDBhlpDyKr53UKKxXRHXD'],2015-11-03,0.555,0.87,9,-5.267,0,0.04,0.307,0.0,0.307,0.941,159.975,4,1,2015,517098,"['dangdut koplo', 'javanese dangdut', 'lagu jawa']",60,lagu jawa
6pDaMYMJFM3lHQOasYNbPT,Diskusi Senja,43,186000,0,['Fourtwnty'],['46cVq2dwPgzPE3X1VR9TMj'],2015-04-20,0.519,0.3,0,-12.1,1,0.0307,0.786,0.0,0.0834,0.139,110.104,4,1,2015,2804521,"['indonesian folk', 'indonesian indie']",61,indonesian folk
2nixvjonFk8zimSc4EOPGH,Puisi Alam,43,352613,0,['Fourtwnty'],['46cVq2dwPgzPE3X1VR9TMj'],2015-04-20,0.295,0.352,7,-8.984,1,0.0298,0.718,0.000116,0.0859,0.203,78.183,4,1,2015,2804521,"['indonesian folk', 'indonesian indie']",61,indonesian folk
1j1JADXZpJqIilXTMgz2NP,Go Green,43,214981,0,['Momonon'],['2XLZhMNnWrmcQQn3h1aSf2'],2015-11-24,0.783,0.732,9,-6.39,1,0.0383,0.263,2.19e-06,0.091,0.964,100.012,4,1,2015,86920,['indonesian reggae'],41,indonesian reggae
4pwOTFNqflkyrB8dB5aRuz,Yaa Robbi Bil Mustofa Yaa Rasulullah Salamun 'Alaik,43,237667,0,"['Haddad Alwi', 'Sulis']","['44byhimPc9Ir6XiIIcVoWb', '5ZJKThiXDIyZPxjewNyAc0']",2015-06-09,0.531,0.357,6,-14.096,1,0.0311,0.403,0.0,0.906,0.303,163.806,4,2,2015,233074,['sholawat'],48,sholawat
4lbVlnz4WNfcX5sRkkOTZs,I Promise,43,260387,0,['Harris J.'],['58LXBTOy629nyAjqX8iUTE'],2015-11-06,0.684,0.423,6,-7.184,1,0.0268,0.228,0.0,0.124,0.474,84.069,4,1,2015,246893,['nasheed'],51,nasheed
6UNTIuiq0qTSBF4aLp38Lx,Al I'tirof,43,305613,0,"['Haddad Alwi', 'Sulis']","['44byhimPc9Ir6XiIIcVoWb', '5ZJKThiXDIyZPxjewNyAc0']",2015-06-09,0.511,0.0755,5,-18.583,1,0.0333,0.967,0.108,0.0843,0.171,103.973,4,2,2015,233074,['sholawat'],48,sholawat
6E0U3OTvJwFvc8rmTqZiBK,Show You,58,180120,0,['Shawn Mendes'],['7n2wHs1TKAczGzO7Dd2rGr'],2015-02-02,0.653,0.674,2,-4.984,1,0.0471,0.0329,0.0,0.347,0.776,165.943,4,1,2015,41506953,"['canadian pop', 'pop', 'viral pop']",84,canadian pop
1Cio6PksUrZnM6igzPUoFa,Allah Roh Kudus,43,333769,0,"['Festival Kuasa Allah Worship', 'Redo Daeng Badjie', 'Ezra Lewina']","['5GzMf6JA2osjw26fIgzOqO', '6BuGwnSZKZp3EeULpZ7ZJg', '4E1MPiaJwOxc2tOUYpyY9c']",2015-02-01,0.532,0.362,2,-7.661,1,0.0284,0.28,1.3e-06,0.164,0.163,130.001,4,3,2015,30307,"['indonesian worship', 'world worship']",37,world worship
6mDAdPxY0AehlVgWLGRdyT,Yaa Nabi Salam 'Alaika,43,304253,0,"['Haddad Alwi', 'Sulis']","['44byhimPc9Ir6XiIIcVoWb', '5ZJKThiXDIyZPxjewNyAc0']",2015-06-09,0.631,0.367,1,-13.592,0,0.0301,0.204,0.153,0.366,0.304,119.794,4,2,2015,233074,['sholawat'],48,sholawat
5rM23KvD1Iffe2O2jLrgWN,Telat 3 Bulan,42,247120,0,['Jamrud'],['5lk9qdr0u90LwpeyZH8ib0'],2015-07-07,0.631,0.336,4,-10.711,1,0.03,0.822,0.00212,0.0944,0.358,85.939,4,1,2015,323245,"['classic indonesian rock', 'indonesian rock']",50,indonesian rock
4guvMChmvbAH1jKHvU5XkX,Aw Aw Aw,42,208213,0,['Super Girlies'],['5a5fiumH9eDxjvvzAvJfEx'],2015-02-14,0.561,0.908,1,-3.745,0,0.0582,0.00656,0.00201,0.0226,0.882,155.978,4,1,2015,15743,"['indonesian idol pop', 'indonesian pop', 'indonesian pop rock']",35,indonesian idol pop
3FyODfVAL5huAUqd7FhlTP,Bersenjagurau,42,230427,0,['Senar Senja'],['2QUFBVwgiBNbP8kNpacdvC'],2015-10-15,0.709,0.26,2,-10.793,1,0.0302,0.507,7.96e-05,0.0871,0.462,120.069,4,1,2015,42,"['indonesian folk', 'indonesian indie']",0,indonesian folk
51notQUivWfKVASDKCd9pd,Kutsu,42,219502,0,['Tulus'],['2iDVt6mFbtbDEZG5ax0dTi'],2015-12-10,0.578,0.466,9,-6.967,1,0.0299,0.491,0.0,0.138,0.413,115.047,4,1,2015,11294256,"['indonesian jazz', 'indonesian pop', 'indonesian singer-songwriter']",76,indonesian jazz
4Ue0o1EYBFqWMfBVUsrJgk,Anjing Jalanan,42,126500,0,['Kelompok Penerbang Roket'],['4CrAgvXjMysuImxrwMqXSG'],2015-05-23,0.339,0.925,6,-7.757,0,0.0693,0.138,0.00477,0.235,0.445,93.094,4,1,2015,136217,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",40,indonesian rock
7J84r3I3JEGOiXZGWhHRi3,Sai Anju Ma Ahu,42,281693,0,['Victor Hutabarat'],['7BPqc7V6LwcBvZOJkkqj2W'],2015-05-19,0.465,0.475,0,-7.343,1,0.0253,0.276,0.0996,0.106,0.283,72.741,4,1,2015,23125,"['batak', 'indonesian worship']",40,batak
65vO6OsYI64iZnLozfqg5J,By My Side,42,249516,0,"['Maudy Ayunda', 'David Choi']","['17Wt0hzZb6fAEVfIHffQFB', '1NcqgaztnxgGfxUCP4GiA8']",2015-04-01,0.499,0.341,11,-9.125,1,0.0259,0.548,0.0,0.0857,0.18,142.024,4,2,2015,1319730,"['indonesian hip hop', 'indonesian pop']",59,indonesian hip hop
0jDRmMOh8lhclhOTaxJDE4,Hatiku Percaya,42,233053,0,['Edward Chen'],['0dfSUAJNqVKUe9Zqs2gQoY'],2015-10-01,0.303,0.316,3,-9.778,1,0.0317,0.837,0.00156,0.112,0.161,133.829,4,1,2015,41831,['indonesian worship'],43,indonesian worship
78HeyK6BaTJ0fEBU56dzw4,Dialog Hujan,42,264151,0,['Senar Senja'],['2QUFBVwgiBNbP8kNpacdvC'],2015-10-15,0.392,0.195,9,-11.814,1,0.101,0.89,0.0123,0.518,0.0997,180.716,3,1,2015,42,"['indonesian folk', 'indonesian indie']",0,indonesian indie
0e1GmdoRXa7D33fcPDP574,Aku Rindu Padamu - Unplugged Version,42,270327,0,['Evie Tamala'],['518KzpAUCquD9HcSLDklzd'],2015-04-04,0.617,0.245,4,-17.679,0,0.0328,0.75,0.0,0.117,0.573,117.971,4,1,2015,165516,"['dangdut', 'dangdut remix', 'lagu sunda']",43,lagu sunda
